Data,Fund,Equity,Volatility,Gold,Oil,Aggr,CvArb,CTA,Distress,EqLS,EqMN,ED,FiArb,Macro,MergerArb,Multi,Regime
1/31/06,-0.0194,0.037703074,0.072908036,0.103848385,0.112712975,0.023127,0.0605,0.034848,0.024595,-0.00088,0.011967,0.035033,0.023947,0.047195,0.035816,0.011889,Normal 
2/28/06,-0.008,-0.004693401,-0.047104247,-0.01611773,-0.095848057,0.005924,0.024022,0.0081,0.0109,-0.007444,-0.00432,0.006096,0.012317,0.0037,0.018032,-0.0166,Normal 
3/31/06,-0.0767,0.018639312,-0.076985413,0.035968661,0.085002443,0.018359,0.012131,0.023431,0.017511,-0.005296,0.013595,0.01973,0.008713,0.028933,0.021633,0.029436,Bull Market 
4/30/06,0.0239,0.034661832,0.017559263,0.12031626,0.078793336,0.020369,0.037969,0.017151,0.012044,0.006487,0.00448,0.017272,0.005006,0.018543,0.013401,0.000246,Normal 
5/31/06,0.0036,-0.032182036,0.418464193,-0.01426818,-0.008208125,0.009344,-0.046653,-0.00635,0.002368,0.00292,0.009191,-0.018386,0.010563,-0.030422,-0.03081,-0.034507,Normal 
6/30/06,-0.0269,-0.003300944,-0.204379562,-0.045136187,0.037031842,-0.002978,-0.013969,0.002095,0.002294,-0.008633,-0.013454,-0.003894,0.002431,-0.008368,-0.001636,-0.010083,Normal 
7/31/06,-0.0168,0.01817311,0.142966361,0.033740831,0.006357365,0.001804,0.007697,-0.00388,0.002587,-0.003871,-0.018145,0.0002,0.007195,-0.008831,0.003791,-0.011093,Normal 
8/31/06,-0.0119,0.014988225,-0.176588629,-0.013087354,-0.055645161,0.006615,0.016269,0.011153,0.005798,0.004511,-0.021891,0.009591,0.009845,0.013677,0.006829,0.012849,Normal 
9/30/06,-0.0798,0.008666911,-0.026807474,-0.043617191,-0.104611443,0.003531,0.006634,0.001248,0.001794,-0.008879,0.003063,0.001105,0.008041,0.004794,0.003187,-0.001897,Normal 
10/31/06,-0.0237,0.032427625,-0.07345576,0.009188106,-0.066444127,0.017431,0.029866,0.022527,0.013524,-0.000564,0.028459,0.018009,0.004059,0.028649,0.020411,0.009531,Normal 
11/30/06,0.1185,0.015519756,-0.017117117,0.070849197,0.074919121,0.01903,0.036006,0.015832,0.017885,0.01583,0.022459,0.017621,0.008384,0.025097,0.011594,0.004484,Normal 
12/31/06,-0.0986,0.022660933,0.059578368,-0.018086258,-0.032947885,0.015752,0.033459,0.020581,0.01957,0.004892,0.001554,0.01605,0.011248,0.017101,0.02561,0.009759,Normal 
1/31/07,0.0136,0.006224217,-0.098615917,0.026448363,-0.047665848,0.015401,0.013021,0.017478,0.013739,0.00456,0.016135,0.011286,0.013733,0.014996,0.012241,0.009146,Normal 
2/28/07,0.0115,-0.018920928,0.479846449,0.026687117,0.062779498,0.014668,0.008963,0.016696,0.013021,-0.005074,0.007814,0.007911,0.011818,0.007738,0.003925,0.009174,Normal 
3/31/07,-0.006,0.015819181,-0.050583658,-0.009560801,0.066030102,0.00822,0.018383,0.011412,0.011298,-0.001345,-0.018109,0.009135,0.006065,0.011805,0.01854,-0.005448,Normal 
4/30/07,-0.0217,0.041393805,-0.028688525,0.026395173,-0.002429027,0.018625,0.026308,0.018698,0.015804,0.008055,-0.037222,0.015915,0.002603,0.024127,0.022009,0.003408,Normal 
5/31/07,-0.0063,0.034163901,-0.082278481,-0.0286554,-0.025871252,0.019672,0.033435,0.019555,0.014863,-0.001538,0.013943,0.019972,0.009759,0.027359,0.020416,0.015779,Normal 
6/30/07,-0.013,-0.00740947,0.243678161,-0.019515885,0.104202468,0.005324,0.023884,0.000554,0.004414,0.006912,0.023197,0.007207,-0.000654,0.007433,0.004358,0.013789,Normal 
7/31/07,-0.0064,-0.027803561,0.449168207,0.029007869,0.106536503,-0.000788,0.02642,-0.000282,0.004915,-0.002582,-0.00784,0.003731,-0.00356,-0.003805,-0.003267,0.008933,Stress
8/31/07,-0.0023,0.008175838,-0.005952381,0.009146799,-0.05331799,-0.014827,-0.027479,-0.013888,-0.01421,-0.00077,-0.029871,-0.014511,-0.014732,-0.018447,-0.016143,-0.0294,Normal 
9/30/07,0.1442,0.050338289,-0.230111206,0.10371471,0.102917342,0.019584,0.0511,0.012513,0.015314,0.007974,0.011773,0.025059,0.01433,0.029294,0.013235,0.014782,Bull Market 
10/31/07,-0.1425,0.02533175,0.029444444,0.066235864,0.157604702,0.020906,0.049809,0.025156,0.026134,0.010092,0.022314,0.028715,0.017215,0.03327,0.021106,0.013047,Normal 
11/30/07,0.1988,-0.041497861,0.234214787,-0.012373737,-0.061567756,-0.028345,-0.024521,-0.024624,-0.014836,0.001616,0.007731,-0.020692,-0.015424,-0.034123,-0.026966,-0.022956,Normal 
12/31/07,0.2145,-0.015578356,-0.0161784,0.067374073,0.081952429,-0.009988,0.017658,-0.001478,0.002145,-0.002159,0.03002,0.005153,-0.014089,0.003384,0.003836,-0.010915,Normal 
1/31/08,0.0818,-0.067997197,0.164444444,0.105162295,-0.044071682,-0.028063,-0.068733,-0.025726,-0.009454,-0.001686,0.018043,-0.032609,-0.004086,-0.051027,-0.028035,-0.044869,Normal 
2/29/08,0.1091,-0.019481392,0.012977099,0.053538528,0.109972752,-0.0389,0.024904,0.0132,0.012279,0.00861,0.035938,0.012282,-0.015005,0.004954,0.018965,-0.003503,Normal 
3/31/08,0.1297,-0.01736443,-0.035041447,-0.057504372,-0.002553024,-0.018397,-0.0457,-0.0183,-0.022918,0.008811,-0.031082,-0.023766,-0.021622,-0.025497,-0.013649,-0.027724,Normal 
4/30/08,-0.0287,0.057425605,-0.188207731,-0.058284217,0.116952156,0.015198,0.028069,0.00881,0.006208,-0.003492,0.013153,0.019272,0.00309,0.028836,0.019856,0.031824,Bull Market 
5/31/08,-0.0064,-0.001164827,-0.142376142,0.02839592,0.122421999,0.014813,0.009601,0.018208,0.017293,0.001959,0.006512,0.018165,0.010339,0.031424,0.016704,0.015855,Bull Market 
6/30/08,-0.0223,-0.080323319,0.343241727,0.043840866,0.099332548,-0.014542,-0.04452,-0.017464,-0.003979,-0.004106,0.059622,-0.017343,-0.009136,-0.034769,-0.002725,-0.034206,Normal 
7/31/08,-0.0123,-0.021129287,-0.04217119,-0.013280069,-0.113714286,-0.024768,-0.028822,-0.019018,-0.022417,-0.002129,-0.007009,-0.021039,-0.017471,-0.027631,-0.019881,-0.015892,Normal 
8/31/08,0.332,-0.013615338,-0.099825632,-0.092570303,-0.069471309,-0.01141,-0.042829,-0.00861,-0.00376,0.000763,0.005247,-0.012095,-0.005799,0.001472,0.013035,-0.014218,Normal 
9/30/08,0.0511,-0.092385826,0.907506053,0.054142048,-0.128356141,-0.069441,-0.110447,-0.057218,-0.076186,0.003143,-0.002134,-0.069878,-0.09489,-0.088397,-0.059494,-0.036013,Stress
10/31/08,-0.0024,-0.182186437,0.520436659,-0.180050332,-0.326212242,-0.088077,-0.156435,-0.045022,-0.071078,0.013504,0.007416,-0.084078,-0.137596,-0.117989,-0.039159,-0.046653,Stress
11/30/08,0.047,-0.066946681,-0.076974453,0.138671875,-0.19731603,-0.053001,-0.042212,-0.028658,-0.020681,0.003024,-0.007769,-0.027957,-0.040189,-0.053298,-0.001414,-0.004683,Stress
12/31/08,0.012,0.022850785,-0.276410999,0.0825778,-0.180598934,-0.053085,0.00139,-0.007857,0.003526,0.006207,0.000085,0.003689,0.025551,0.00669,0.002918,0.018653,Bull Market 
