STOCKS,Start,End,Ret
A,40.94,38.58,-0.0576453346360527
AA,15.79,11.15,-0.29385687143761874
AAPL,110.38,125.425,0.1363018662801232
ABC,90.16,106.34,0.1794587400177463
ABT,45.02,49.08,0.09018214127054636
ACE,114.88,101.68,-0.11490250696378823
ACN,89.31,96.78,0.08364124958011421
ADBE,72.7,81.01,0.11430536451169182
ADI,55.52,64.185,0.15606988472622474
ADM,52.0,48.22,-0.07269230769230772
ADP,83.37,80.23,-0.037663428091639695
ADSK,60.06,50.075,-0.16625041625041626
ADT,36.23,33.57,-0.07341981783052709
AEE,46.13,37.68,-0.1831779752872318
AEP,60.72,52.97,-0.127635046113307
AES,13.77,13.26,-0.03703703703703698
AET,88.83,127.46,0.4348756050883711
AFL,61.09,62.2,0.01816991324275663
AGN,212.59,303.46,0.427442494943318
AIG,56.01,61.82,0.10373147652204961
AIV,37.15,36.93,-0.005921938088829015
AIZ,68.43,67.0,-0.02089726728043262
AKAM,62.96,69.82,0.10895806861499358
ALL,70.25,64.87,-0.07658362989323841
ALTR,36.94,51.2,0.38603140227395794
ALXN,185.03,180.77,-0.02302329351996968
AMAT,24.92,19.22,-0.2287319422150884
AMD,2.67,2.4,-0.101123595505618
AMGN,159.29,153.52,-0.036223240630296805
AMP,132.25,124.93,-0.05534971644612474
AMT,98.85,93.29,-0.0562468386444106
AMZN,310.35,434.09,0.39871113259223434
AN,60.41,62.98,0.042542625393146904
ANF,28.64,21.51,-0.24895251396648044
AON,94.83,99.68,0.051144152694295064
APA,62.67,57.63,-0.08042125418860702
APC,82.5,78.06,-0.053818181818181765
APD,144.23,136.83,-0.051306940303681436
APH,53.81,57.97,0.07730905036238611
APOL,34.11,12.88,-0.6223981237173849
ARG,115.18,105.78,-0.08161139086646996
ATI,34.77,30.2,-0.13143514524014965
AVB,163.39,159.87,-0.021543546116653323
AVP,9.39,6.26,-0.33333333333333337
AVY,51.88,60.94,0.17463377023901305
AXP,93.04,77.72,-0.16466036113499571
AZO,619.11,666.9,0.07719145224596602
BA,129.98,138.72,0.06724111401754129
BAC,17.89,17.02,-0.048630519843487985
BAX,73.29,69.93,-0.045845272206303744
BBBY,76.17,68.98,-0.09439411841932521
BBT,38.89,40.31,0.0365132424787864
BBY,38.98,32.61,-0.16341713699332983
BCR,166.62,170.7,0.024486856319769545
BDX,139.16,141.65,0.017893072722046544
BEN,55.37,49.03,-0.11450243814339889
BF.B,87.84,100.18,0.14048269581056472
BHI,56.07,61.7,0.1004102015337971
BIG,40.02,44.99,0.12418790604697638
BIIB,339.45,403.94,0.1899837973191929
BK,40.57,41.97,0.034508257333004666
BLK,357.56,345.98,-0.03238617294999435
BLL,68.17,70.15,0.02904503447264206
BMS,45.21,45.01,-0.004423800044238035
BMY,59.03,66.54,0.12722344570557342
BRCM,43.33,51.49,0.18832217862912537
BRK.B,150.15,136.11,-0.09350649350649343
BSX,13.25,17.7,0.3358490566037735
BTU,7.74,2.19,-0.7170542635658914
BWA,54.95,56.84,0.03439490445859872
BXP,128.69,121.04,-0.059445178335534976
C,54.11,55.24,0.020883385695804835
CA,30.45,29.29,-0.03809523809523807
CAG,36.28,43.72,0.20507166482910688
CAH,80.73,83.65,0.03616994921342753
CAM,49.95,52.37,0.04844844844844842
CAT,91.53,84.82,-0.07330929749808812
CB,103.47,95.14,-0.08050642698366672
CBG,34.25,37.0,0.08029197080291972
CBS,55.34,55.5,0.002891217925551137
CCE,44.22,43.44,-0.01763907734056991
CCI,78.7,80.3,0.020330368487928796
CCL,45.33,49.39,0.08956540922126632
CELG,111.86,115.735,0.03464151618094036
CERN,64.66,69.06,0.0680482523971544
CF,54.508,64.28,0.17927643648638725
CFN,59.34,59.91,0.009605662285136374
CHK,19.57,11.17,-0.4292284108329075
CHRW,74.89,62.39,-0.1669114701562291
CI,102.91,162.0,0.574191040715188
CINF,51.83,50.18,-0.03183484468454556
CL,69.19,65.41,-0.05463217227923112
CLF,7.14,4.33,-0.3935574229691876
CLX,104.21,104.02,-0.0018232415315229122
